92845,纽曼 L70 GSM手机（红色）双卡双待,纽曼（Newsmy）,0,15,149,-,非智能机,
92868,飞利浦（PHILIPS）W626 3G手机（白色）WCDMA/GSM 双卡双待 联通定制,飞利浦（PHILIPS）,0,0,358,-,-,
92869,飞利浦 W6350 3G手机（白色）WCDMA/GSM 双卡双待,飞利浦（PHILIPS）,0,0,349,3.6-4.0英寸,Android（安卓）,
92870,联想 P700i 3G手机  WCDMA/GSM 双卡双待,联想（Lenovo）,0,1,666,-,-,
92871,三星 S7562 双卡双待 4.0寸屏3G智能手机 WCDMA/GSM,三星（SAMSUNG）,1,7,549,4.1-4.9英寸,Android（安卓）,
92909,ZTE/中兴 U985(蓝黑渐变)四核1.5G智能手机 移动3G 800万像素 IPS4.5英寸屏,中兴（ZTE ）,23,1062,749,4.1-4.9英寸,Android（安卓）,
92926,华为Ascend G330C（C8825D）电信3G手机,华为（HUAWEI）,0,1,499,4.1-4.9英寸,Android（安卓）,
92927,联想 S720 3G手机  WCDMA/GSM 双卡双待,联想（Lenovo）,0,1,848,-,-,
92928,天语（K-Touch）W760 3G手机（黑）WCDMA/GSM 双卡双待 联通定制,天语（K-Touch ）,0,0,529,3.6-4.0英寸,Android（安卓）,
92929,摩托罗拉（Motorola）MT680 3G手机（白色）TD-SCDMA/GSM,摩托罗拉（Motorola）,3,1256,893,4.0英寸,-,
92933,飞利浦(Philips) W736联通3G 双卡双待 超长待机安卓4.0,飞利浦（PHILIPS）,0,1,599,4.1-4.9英寸,Android（安卓）,
92934,飞利浦(Philips)W536 3G大屏双核双模双待GSM,飞利浦（PHILIPS）,0,0,1048,4.1-4.9英寸,Android（安卓）,
92936,三星Galaxy Trend I699 电信3G手机 4.0寸屏300万像素 CDMA2000/CDMA,LAX,0,0,469,-,-,
92956,中兴（ZTE）N880F 3G手机（黑色）CDMA2000/GSM 双模双待 电信定制,中兴（ZTE ）,3,101,479,4.1-4.9英寸,Android（安卓）,
92979,酷派（Coolpad）7266 3G手机（黑色）WCDMA/GSM 双卡双待 联通定制,欧欧（OO）,0,0,438,3.6-4.0英寸,Android（安卓）,
92980,HTC T528w（One SU）3G手机（锐意黑）WCDMA/GSM 双卡双待双通,None,24,772,1560,4.3英寸,-,
92981,中兴手机N788(黑色),中兴（ZTE ）,1,16,346,3.6-4.0英寸,Android（安卓）,
92982,三星 I659 双模单核手机 CDMA2000/GSM,三星（SAMSUNG）,0,990,436,-,-,
92983,朵唯手机 D7 晶玉白,朵唯（iEva）,0,0,998,4.1-4.9英寸,Android（安卓）,
93011,黑莓（BlackBerry）8980 GSM 手机（黑色）,黑莓（BlackBerry）,0,0,2499,-,-,
93133,酷派（Coolpad）8950 3G手机（深邃黑）TD-SCDMA/GSM 双卡双待双通,欧欧（OO）,0,3,442,-,谷歌Android,
93176,中兴（ZTE）U960s3 3G手机（黑色）TD-SCDMA/GSM,中兴（ZTE ）,0,7,498,4.1-4.9英寸,Android（安卓）,
93196,三星（SAMSUNG）S7562I 3G手机WCDMA/GSM 双卡双待,三星（SAMSUNG）,0,1,739,4.1-4.9英寸,Android（安卓）,
93197,Lenovo/联想 乐Phone S880i 联通3G WCDMA/GSM,诺和（Novo）,2,68,399,5.0-4.6英寸,安卓（Android）,
93199,天语（K-TOUCH）CDMA2000/GSM手机 E688（黑黄色）电信定制,天语（K-Touch ）,6,225,449,3.6-4.0英寸,Android（安卓）,
93308,Coolpad 酷派 8180 TD-SCDMA/GSM 3G手机 白色 ,欧欧（OO）,0,3,389,3.5英寸以下,Android（安卓）,
93353,天语（K-Touch）WCDMA/GSM手机 U6（黑色）,天语（K-Touch ）,0,0,638,-,谷歌Android,
93358,华为（HUAWEI）TD-SCDMA/GSM手机 T1100 移动定制,华为（HUAWEI）,0,1,268,3.5英寸以下,非智能操作系统,
93502,K-Touch 天语 E806 GSM/CDMA2000 双模双待手机 黄色,天语（K-Touch ）,0,0,648,4.1-4.9英寸,Android（安卓）,
93503,酷派（Coolpad）8060 3G手机（黑色）TD-SCDMA/GSM,欧欧（OO）,1,29,398,3.6-4.0英寸,Android（安卓）,
93505,中兴（ZTE）U795 3G手机（黑色）TD-SCDMA/GSM,中兴（ZTE ）,2,88,398,3.6-4.0英寸,Android（安卓）,
93737,联想（Lenovo）TD-SCDMA手机 TD30t（酷黑） ,诺和（Novo）,0,0,368,2.8,其他,
93764,Coolpad 酷派 D530 3G（CDMA2000）手机 黑色 定制机 ,欧欧（OO）,0,4,296,-,-,
93981,三星 S5750E 3G智能导航手机 黑色 WCDMA/GSM,三星（SAMSUNG）,0,0,449,3.5英寸以下,其它智能系统,
94763,夏普（Sharp）SH8158U 3G手机（红色）WCDMA/GSM,夏普（SHARP）,0,0,388,4.5-3.1英寸,其他,
94778,HTC A315c 3G手机 CDMA2000/CDMA 电信定制 G8,HTC,0,1,599,-,谷歌Android,
94801,三星 W289 电信3G手机 双网双待 CDMA2000/GSM,三星（SAMSUNG）,0,0,398,-,-,
95034,NCBC新中桥超薄大电池直板手机CB-U303 红,None,0,0,148,-,-,
95036,HTC（HTC） X920e 3G手机 （极致黑）WCDMA/GSM,HTC,0,0,3499,5.0英寸及以上,Android（安卓）,
95043,联想（lenovo）A600e 3G手机  CDMA2000/GSM 双模双待,诺和（Novo）,0,2,749,3.6-4.0英寸,Android（安卓）,
95048,联想（lenovo）S870e 3G手机  CDMA2000/GSM ,诺和（Novo）,6,130,848,4.1-4.9英寸,Android（安卓）,
95052,首信 L118 老人GSM手机（黑色）,首信（capitel） ,608,14221,49,-,-,
95062,中兴（ZTE）四核 U950 3G手机（珠光蓝）TD-SCDMA/GSM,中兴（ZTE ）,0,21,365,-,-,
95066,东信 EA138 GSM老人手机（红色）,东信（Eastcom）,14,1012,105,-,-,
95068,诺基亚（NOKIA）Lumia 820 3G手机WCDMA/GSM,小米（MI）,0,3651,898,4.1-4.9英寸,Windows Phone,
95069,酷派（Cooplad）8050 3G手机（磐石黑）TD-SCDMA/GSM,欧欧（OO）,0,0,232,3.5英寸,谷歌Android,
95073,朵唯 iEva D900 3G手机（香腮红）WCDMA/GSM 双卡双待,朵唯（iEva）,0,5,599,-,谷歌Android,
95076,HTC T329W 新渴望 3G手机（灵犀白）WCDMA/GSM 双卡双待,渴望（crave）,1,5,999,-,谷歌Android,
95079,创维 V688 老人GSM手机（红色）双卡双待,创维（Skyworth）,0,1,199,3.5英寸以下,非智能操作系统,
95083,中兴（ZTE）U880F1 3G手机（白色）TD-SCDMA/GSM,中兴（ZTE ）,0,1,399,3.6-4.0英寸,Android（安卓）,
95089,酷派（coolpad）8190 3G手机（黑）TD-SCDMA/GSM,欧欧（OO）,5,862,459,4.1-4.9英寸,Android（安卓）,
95094,K-Touch/天语 W719 3G手机 GSM/WCDMA 双卡双待,天语（K-Touch ）,0,8,468,3.5英寸以下,Android（安卓）,
95095,三星 S7568 移动3G手机4.0寸屏 TD-SCDMA/GSM ,三星（SAMSUNG）,0,0,680,-,-,
95096,诺基亚（NOKIA）C1-02i GSM手机,诺基亚（Nokia）,0,4,399,-,其他,
95101,奥克斯（AUX）V926 3G手机 WCDMA/GSM 风尚蓝,奥克斯（AUX）,1,19,358,4.0英寸,-,
95105,联想 乐Phone A530 3G手机  WCDMA/GSM 双卡双待,None,0,0,469,3.6-4.0英寸,Android（安卓）,
95107,联想 乐Phone S890 3G手机 WCDMA/GSM 双卡双待,None,4,168,587,-,谷歌Android,
95108,中兴（ZTE）N790 3G手机（黑色）CDMA2000/GSM 双模双待,中兴（ZTE ）,0,3,448,3.6-4.0英寸,Android（安卓）,
95115,夏朗(NAMO)N880 4.5寸高清IPS+双核1G+4GROM+双卡双待+安卓4.0 黑 标配版,茉（MO）,0,20,599,-,Android,
95118,中兴（ZTE）U790 3G手机（黑色）TD-SCDMA/GSM,中兴（ZTE ）,0,1,279,3.5英寸以下,Android（安卓）,
95120,酷派（coolpad）5860S 3G手机（锋锐黑）CDMA2000/CDMA,欧欧（OO）,0,34,426,4.1-4.9英寸,Android（安卓）,
95126,中兴（ZTE）U960s2 3G手机（质紫黑）TD-SCDMA/GSM,中兴（ZTE ）,0,6,342,-,-,
95127,飞利浦（PHILIPS）W832 3G手机（雅皓银）WCDMA/GSM 双卡双待  ,飞利浦（PHILIPS）,0,2,999,-,-,
95129,天语（K-touch）T760 3G手机（黑色）TD-SCDMA/GSM,天语（K-Touch ）,0,16,349,3.6-4.0英寸,Android（安卓）,
